0, 0, Header, 1, 9, 480
1, 0, Start_track
1, 0, Title_t, "Klaviersonate C-Dur KV 330"
1, 0, Title_t, "2. Satz"
1, 0, Copyright_t, "Copyright © 1997 by Krüger http://www.piano-midi.de"
1, 0, Text_t, "Andante Cantabile"
1, 0, Text_t, "Update am 31.3.2000\012"
1, 0, Text_t, "Update am 3.12.2001\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Dauer: 6:38 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 1194268
1, 80, Tempo, 1348315
1, 720, Marker_t, "Teil1"
1, 1440, Tempo, 1300954
1, 1680, Tempo, 1250000
1, 1800, Tempo, 1250000
1, 1920, Tempo, 1263158
1, 2160, Tempo, 1348315
1, 2640, Tempo, 1412097
1, 2880, Tempo, 1348315
1, 3600, Tempo, 1312336
1, 4560, Tempo, 1176471
1, 4680, Tempo, 1132075
1, 4740, Tempo, 1165049
1, 4800, Tempo, 1363636
1, 5040, Tempo, 1287830
1, 5280, Tempo, 1340483
1, 5520, Tempo, 1454193
1, 5760, Tempo, 1398927
1, 6480, Tempo, 1287830
1, 7080, Tempo, 1382807
1, 7200, Tempo, 1287830
1, 8520, Tempo, 1492909
1, 8640, Tempo, 1287830
1, 9120, Tempo, 1382807
1, 9600, Tempo, 1300672
1, 10080, Tempo, 1354402
1, 10440, Tempo, 1459499
1, 10560, Tempo, 1354402
1, 12000, Tempo, 1463415
1, 12120, Marker_t, "Teil1 Wiederholung"
1, 12240, Tempo, 1363636
1, 12320, Tempo, 1348315
1, 12960, Tempo, 1300954
1, 13200, Tempo, 1224490
1, 13320, Tempo, 1224490
1, 13440, Tempo, 1290323
1, 13680, Tempo, 1348315
1, 14160, Tempo, 1412097
1, 14400, Tempo, 1348315
1, 15120, Tempo, 1312336
1, 16080, Tempo, 1176471
1, 16200, Tempo, 1090909
1, 16260, Tempo, 1142857
1, 16320, Tempo, 1348315
1, 16560, Tempo, 1287830
1, 16800, Tempo, 1340483
1, 17040, Tempo, 1454193
1, 17280, Tempo, 1398927
1, 18000, Tempo, 1287830
1, 18600, Tempo, 1382807
1, 18720, Tempo, 1287830
1, 20040, Tempo, 1492909
1, 20160, Tempo, 1287830
1, 20640, Tempo, 1382807
1, 21120, Tempo, 1300672
1, 21600, Tempo, 1354402
1, 21960, Tempo, 1459499
1, 22080, Tempo, 1354402
1, 23520, Tempo, 1395349
1, 23560, Marker_t, "Teil2"
1, 23760, Tempo, 1290323
1, 24120, Tempo, 1290323
1, 24480, Tempo, 1333333
1, 24960, Tempo, 1276596
1, 25200, Tempo, 1263158
1, 25680, Tempo, 1379310
1, 25920, Tempo, 1318681
1, 26640, Tempo, 1276596
1, 28320, Tempo, 1304348
1, 28560, Tempo, 1304348
1, 28800, Tempo, 1333333
1, 29520, Tempo, 1304348
1, 30000, Tempo, 1379310
