0, 0, Header, 1, 8, 120
1, 0, Start_track
1, 0, MIDI_port, 0
1, 0, System_exclusive, 5, 126, 127, 9, 1, 247
1, 0, MIDI_port, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 1200000
1, 480, Marker_t, "1st Mov't. ""Adagio"""
1, 3240, Tempo, 1200000
1, 3258, Tempo, 1224490
1, 3276, Tempo, 1250000
1, 3294, Tempo, 1276596
1, 3312, Tempo, 1304348
1, 3330, Tempo, 1333333
1, 3348, Tempo, 1363636
1, 3366, Tempo, 1395349
1, 3384, Tempo, 1428571
1, 3402, Tempo, 1463415
1, 3420, Tempo, 1500000
1, 3438, Tempo, 1538462
1, 3456, Tempo, 1578947
1, 3474, Tempo, 1621622
1, 3492, Tempo, 1666667
1, 3510, Tempo, 1714286
1, 3528, Tempo, 1764706
1, 3546, Tempo, 1818182
1, 3564, Tempo, 1875000
1, 3582, Tempo, 1935484
1, 3600, Tempo, 2000000
1, 3601, Tempo, 1200000
1, 10080, Tempo, 1200000
1, 10104, Tempo, 1224490
1, 10128, Tempo, 1250000
1, 10152, Tempo, 1276596
1, 10176, Tempo, 1304348
1, 10200, Tempo, 1333333
1, 10224, Tempo, 1363636
1, 10248, Tempo, 1395349
1, 10272, Tempo, 1428571
1, 10296, Tempo, 1463415
1, 10320, Tempo, 1500000
1, 10344, Tempo, 1538462
1, 10368, Tempo, 1578947
1, 10392, Tempo, 1621622
1, 10416, Tempo, 1666667
1, 10440, Tempo, 1714286
1, 10464, Tempo, 1764706
1, 10488, Tempo, 1818182
1, 10512, Tempo, 1875000
1, 10536, Tempo, 1935484
1, 10560, Tempo, 2000000
1, 10561, Tempo, 300000
1, 10800, Tempo, 272727
1, 11160, Time_signature, 2, 1, 48, 8
1, 11160, Tempo, 272727
1, 11160, Marker_t, """Allegro di molto"""
1, 27480, Tempo, 272727
1, 27489, Tempo, 273973
1, 27498, Tempo, 275229
1, 27507, Tempo, 276498
1, 27516, Tempo, 277778
1, 27525, Tempo, 279070
1, 27534, Tempo, 280374
1, 27543, Tempo, 281690
1, 27552, Tempo, 283019
