0, 0, Header, 1, 6, 192
1, 0, Start_track
1, 0, Title_t, "dfasd"
1, 0, Copyright_t, "Copyright © 1999 by NoteWorthy ArtWare, Inc. All Rights Reserved"
1, 0, Text_t, "By Unregistered User\012"
1, 0, Text_t, "Generated by NoteWorthy Composer\012"
1, 0, Time_signature, 1, 0, 96, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 312500
1, 0, Marker_t, "1mov"
1, 12339, Tempo, 314136
1, 12343, Tempo, 315789
1, 12346, Tempo, 317460
1, 12350, Tempo, 319149
1, 12354, Tempo, 320856
1, 12357, Tempo, 322581
1, 12361, Tempo, 324324
1, 12365, Tempo, 326087
1, 12368, Tempo, 327869
1, 12372, Tempo, 329670
1, 12376, Tempo, 331492
1, 12379, Tempo, 333333
1, 12383, Tempo, 335196
1, 12387, Tempo, 337079
1, 12390, Tempo, 338983
1, 12394, Tempo, 340909
1, 12398, Tempo, 342857
1, 12401, Tempo, 344828
1, 12405, Tempo, 346821
1, 12409, Tempo, 348837
1, 12412, Tempo, 350877
1, 12416, Tempo, 352941
1, 12420, Tempo, 355030
1, 12423, Tempo, 357143
1, 12427, Tempo, 359281
1, 12430, Tempo, 361446
1, 12434, Tempo, 363636
1, 12438, Tempo, 365854
1, 12441, Tempo, 368098
1, 12445, Tempo, 370370
1, 12449, Tempo, 372671
1, 12452, Tempo, 375000
1, 12456, Tempo, 377358
1, 12460, Tempo, 379747
1, 12463, Tempo, 382166
1, 12467, Tempo, 384615
1, 12471, Tempo, 387097
1, 12474, Tempo, 389610
1, 12478, Tempo, 392157
1, 12482, Tempo, 394737
1, 12485, Tempo, 397351
1, 12489, Tempo, 400000
1, 12493, Tempo, 402685
1, 12496, Tempo, 405405
1, 12500, Tempo, 408163
1, 12504, Tempo, 410959
1, 12507, Tempo, 413793
1, 12511, Tempo, 416667
1, 12514, Tempo, 419580
1, 12518, Tempo, 422535
1, 12522, Tempo, 425532
1, 12525, Tempo, 428571
1, 12529, Tempo, 431655
1, 12533, Tempo, 434783
1, 12536, Tempo, 437956
1, 12540, Tempo, 441176
1, 12544, Tempo, 444444
1, 12547, Tempo, 447761
1, 12551, Tempo, 451128
1, 12555, Tempo, 454545
1, 12558, Tempo, 458015
1, 12562, Tempo, 461538
1, 12566, Tempo, 465116
1, 12569, Tempo, 468750
1, 12573, Tempo, 472441
1, 12577, Tempo, 476190
1, 12580, Tempo, 480000
1, 12584, Tempo, 483871
1, 12588, Tempo, 487805
1, 12591, Tempo, 491803
1, 12595, Tempo, 495868
1, 12598, Tempo, 500000
1, 12602, Tempo, 504202
1, 12606, Tempo, 508475
1, 12609, Tempo, 512821
1, 12613, Tempo, 517241
1, 12617, Tempo, 521739
1, 12620, Tempo, 526316
1, 12624, Tempo, 530973
1, 12628, Tempo, 535714
1, 12631, Tempo, 540541
1, 12635, Tempo, 545455
1, 12639, Tempo, 550459
1, 12642, Tempo, 555556
1, 12646, Tempo, 560748
1, 12650, Tempo, 566038
1, 12653, Tempo, 571429
1, 12657, Tempo, 576923
1, 12661, Tempo, 582524
1, 12664, Tempo, 588235
1, 12668, Tempo, 594059
1, 12672, Tempo, 600000
1, 13440, Tempo, 652174
1, 24226, Tempo, 659341
1, 24261, Tempo, 666667
1, 24296, Tempo, 674157
1, 24331, Tempo, 681818
1, 24366, Tempo, 689655
1, 24401, Tempo, 697674
1, 24436, Tempo, 705882
1, 24471, Tempo, 714286
