0, 0, Header, 1, 17, 120
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 12, 3, 12, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 545455
1, 28080, Tempo, 545455
1, 28082, Tempo, 552995
1, 28085, Tempo, 560748
1, 28087, Tempo, 571429
1, 28090, Tempo, 579710
1, 28092, Tempo, 588235
1, 28095, Tempo, 600000
1, 28097, Tempo, 609137
1, 28100, Tempo, 618557
1, 28102, Tempo, 631579
1, 28105, Tempo, 641711
1, 28107, Tempo, 652174
1, 28110, Tempo, 666667
1, 28112, Tempo, 677966
1, 28115, Tempo, 689655
1, 28117, Tempo, 705882
1, 28120, Tempo, 718563
1, 28122, Tempo, 731707
1, 28125, Tempo, 750000
1, 28127, Tempo, 764331
1, 28130, Tempo, 779221
1, 28132, Tempo, 800000
1, 28135, Tempo, 816327
1, 28137, Tempo, 833333
1, 28140, Tempo, 857143
1, 28142, Tempo, 875912
1, 28145, Tempo, 895522
1, 28147, Tempo, 923077
1, 28150, Tempo, 944882
1, 28152, Tempo, 967742
1, 28155, Tempo, 1000000
1, 28157, Tempo, 1025641
1, 28160, Tempo, 1052632
1, 28162, Tempo, 1090909
1, 28165, Tempo, 1121495
1, 28167, Tempo, 1153846
1, 28170, Tempo, 1200000
1, 28172, Tempo, 1237113
1, 28175, Tempo, 1276596
1, 28177, Tempo, 1333333
1, 28180, Tempo, 1379310
1, 28182, Tempo, 1428571
1, 28185, Tempo, 1500000
1, 28187, Tempo, 1558442
1, 28190, Tempo, 1621622
1, 28192, Tempo, 1714286
1, 28195, Tempo, 1791045
1, 28197, Tempo, 1875000
1, 28200, Tempo, 2000000
1, 28257, Tempo, 750000
1, 28262, Tempo, 745342
1, 28265, Tempo, 740741
1, 28267, Tempo, 736196
1, 28270, Tempo, 731707
1, 28275, Tempo, 727273
1, 28277, Tempo, 722892
1, 28280, Tempo, 718563
1, 28282, Tempo, 714286
1, 28285, Tempo, 710059
1, 28290, Tempo, 705882
1, 28292, Tempo, 701754
1, 28295, Tempo, 697674
1, 28297, Tempo, 693642
1, 28302, Tempo, 689655
1, 28305, Tempo, 685714
1, 28307, Tempo, 681818
1, 28310, Tempo, 677966
1, 28312, Tempo, 674157
1, 28317, Tempo, 670391
1, 28320, Tempo, 666667
1, 28322, Tempo, 662983
1, 28325, Tempo, 659341
1, 28327, Tempo, 655738
1, 28332, Tempo, 652174
1, 28335, Tempo, 648649
1, 28337, Tempo, 645161
1, 28340, Tempo, 641711
1, 28345, Tempo, 638298
1, 28347, Tempo, 634921
1, 28350, Tempo, 631579
1, 28352, Tempo, 628272
1, 28355, Tempo, 625000
1, 28360, Tempo, 621762
1, 28362, Tempo, 618557
1, 28365, Tempo, 615385
1, 28367, Tempo, 612245
1, 28372, Tempo, 609137
1, 28375, Tempo, 606061
1, 28377, Tempo, 603015
1, 28380, Tempo, 600000
1, 28382, Tempo, 597015
1, 28387, Tempo, 594059
1, 28390, Tempo, 591133
1, 28392, Tempo, 588235
1, 28395, Tempo, 585366
1, 28397, Tempo, 582524
1, 28402, Tempo, 579710
1, 28405, Tempo, 576923
1, 28407, Tempo, 574163
1, 28410, Tempo, 571429
1, 28415, Tempo, 568720
1, 28417, Tempo, 566038
1, 28420, Tempo, 563380
1, 28422, Tempo, 560748
1, 28425, Tempo, 558140
1, 28430, Tempo, 555556
1, 28432, Tempo, 552995
1, 28435, Tempo, 550459
1, 28437, Tempo, 547945
1, 28440, Tempo, 545455
1, 33840, Tempo, 545455
1, 33842, Tempo, 550459
1, 33845, Tempo, 555556
1, 33847, Tempo, 560748
1, 33850, Tempo, 566038
1, 33852, Tempo, 574163
1, 33855, Tempo, 579710
1, 33857, Tempo, 585366
1, 33860, Tempo, 591133
1, 33862, Tempo, 600000
1, 33865, Tempo, 606061
1, 33867, Tempo, 612245
1, 33870, Tempo, 618557
1, 33872, Tempo, 625000
1, 33875, Tempo, 634921
1, 33877, Tempo, 641711
1, 33880, Tempo, 648649
1, 33882, Tempo, 655738
1, 33885, Tempo, 666667
1, 33887, Tempo, 674157
1, 33890, Tempo, 681818
1, 33892, Tempo, 689655
1, 33895, Tempo, 701754
1, 33897, Tempo, 710059
1, 33900, Tempo, 718563
1, 33902, Tempo, 727273
1, 33905, Tempo, 736196
1, 33907, Tempo, 750000
1, 33910, Tempo, 759494
1, 33912, Tempo, 769231
1, 33915, Tempo, 779221
1, 33917, Tempo, 794702
1, 33920, Tempo, 805369
1, 33922, Tempo, 816327
1, 33925, Tempo, 827586
1, 33927, Tempo, 845070
1, 33930, Tempo, 857143
1, 33932, Tempo, 869565
1, 33935, Tempo, 882353
1, 33937, Tempo, 895522
1, 33940, Tempo, 916031
1, 33942, Tempo, 930233
1, 33945, Tempo, 944882
1, 33947, Tempo, 960000
1, 33950, Tempo, 983607
1, 33952, Tempo, 1000000
1, 33955, Tempo, 1016949
1, 33957, Tempo, 1034483
1, 33960, Tempo, 1061947
1, 33962, Tempo, 7500000
1, 33962, End_track
2, 0, Start_track
2, 0, MIDI_port, 0
2, 0, Title_t, "Solo Lute"
2, 0, Program_c, 0, 24
2, 0, Control_c, 0, 7, 100
2, 0, Control_c, 0, 10, 64
2, 60, Note_on_c, 0, 75, 100
2, 120, Note_on_c, 0, 75, 0
2, 120, Note_on_c, 0, 74, 100
2, 180, Note_on_c, 0, 74, 0
2, 180, Note_on_c, 0, 75, 100
2, 240, Note_on_c, 0, 75, 0
2, 240, Note_on_c, 0, 70, 100
2, 300, Note_on_c, 0, 70, 0
2, 300, Note_on_c, 0, 73, 100
2, 360, Note_on_c, 0, 73, 0
2, 360, Note_on_c, 0, 72, 100
2, 420, Note_on_c, 0, 72, 0
