0, 0, Header, 1, 4, 120
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 545455
1, 0, Marker_t, "tpinven1.pc"
1, 0, Marker_t, "Staff:0 "
1, 15, Tempo, 665336
1, 9465, Tempo, 661667
1, 9475, Tempo, 665336
1, 9480, Tempo, 669045
1, 9485, Tempo, 672797
1, 9490, Tempo, 676590
1, 9495, Tempo, 680426
1, 9500, Tempo, 684307
1, 9510, Tempo, 688231
1, 9515, Tempo, 692201
1, 9520, Tempo, 696217
1, 9525, Tempo, 700280
1, 9530, Tempo, 704391
1, 9535, Tempo, 708550
1, 9540, Tempo, 712758
1, 9550, Tempo, 717017
1, 9555, Tempo, 721327
1, 9560, Tempo, 725689
1, 9565, Tempo, 730105
1, 9570, Tempo, 734574
1, 9575, Tempo, 739098
1, 9580, Tempo, 743679
1, 9590, Tempo, 748316
1, 9595, Tempo, 753012
1, 9600, Tempo, 757767
1, 9605, Tempo, 762583
1, 9610, Tempo, 767460
1, 9615, Tempo, 772400
1, 9620, Tempo, 777403
1, 9630, Tempo, 782473
1, 9635, Tempo, 787608
1, 9640, Tempo, 792812
1, 9645, Tempo, 798085
1, 9650, Tempo, 803428
1, 9655, Tempo, 808843
1, 9660, Tempo, 814332
1, 9670, Tempo, 819896
1, 9675, Tempo, 825537
1, 9680, Tempo, 831255
1, 9685, Tempo, 837054
1, 9690, Tempo, 842933
1, 9695, Tempo, 848896
1, 9700, Tempo, 854944
1, 9710, Tempo, 861079
1, 9715, Tempo, 867303
1, 9720, Tempo, 873617
1, 9725, Tempo, 880023
1, 9730, Tempo, 886525
1, 9735, Tempo, 893123
1, 9740, Tempo, 899820
1, 9750, Tempo, 906618
1, 9755, Tempo, 913520
1, 9760, Tempo, 920528
1, 9765, Tempo, 927644
1, 9770, Tempo, 934871
1, 9775, Tempo, 942211
1, 9780, Tempo, 949668
1, 9790, Tempo, 957243
1, 9795, Tempo, 964940
1, 9800, Tempo, 972763
1, 9805, Tempo, 980713
1, 9810, Tempo, 988794
1, 9815, Tempo, 997009
1, 9820, Tempo, 1005362
1, 9830, Tempo, 1013856
1, 9835, Tempo, 1022495
1, 9840, Tempo, 1031282
1, 9845, Tempo, 1040222
1, 9850, Tempo, 1049318
1, 9855, Tempo, 1058574
1, 9865, Tempo, 1067996
1, 9870, Tempo, 1077586
1, 9875, Tempo, 1087350
1, 9880, Tempo, 1097293
1, 9885, Tempo, 1107420
1, 9890, Tempo, 1117735
1, 9895, Tempo, 1128244
1, 9905, Tempo, 1138952
1, 9910, Tempo, 1149866
1, 9915, Tempo, 1160991
1, 9920, Tempo, 1172333
1, 9925, Tempo, 1183899
1, 9930, Tempo, 1195695
1, 9935, Tempo, 1207729
1, 9945, Tempo, 1220008
1, 9950, Tempo, 1232539
1, 9955, Tempo, 1245330
1, 9960, Tempo, 1258389
1, 9965, Tempo, 1271725
1, 9970, Tempo, 1285347
1, 9975, Tempo, 1299264
1, 9985, Tempo, 1313485
1, 9990, Tempo, 1328021
1, 9995, Tempo, 1342883
1, 10000, Tempo, 1358081
1, 10005, Tempo, 1373626
1, 10010, Tempo, 1389532
1, 10015, Tempo, 1405811
1, 10025, Tempo, 1422475
1, 10030, Tempo, 1439539
1, 10035, Tempo, 1457018
1, 10040, Tempo, 1474926
1, 10045, Tempo, 1493280
1, 10050, Tempo, 1512097
1, 10055, Tempo, 1531394
1, 10065, Tempo, 1551189
1, 10070, Tempo, 1571503
1, 10075, Tempo, 1592357
1, 10080, Tempo, 1613771
1, 10085, Tempo, 1635769
1, 10090, Tempo, 1658375
1, 10095, Tempo, 1681614
1, 10105, Tempo, 1705514
1, 10110, Tempo, 1730104
1, 10115, Tempo, 1755413
1, 10120, Tempo, 1781473
1, 10125, Tempo, 1808318
1, 10130, Tempo, 1835985
1, 10135, Tempo, 1864512
1, 10145, Tempo, 1893939
1, 10150, Tempo, 1924310
1, 10155, Tempo, 1955671
1, 10160, Tempo, 1988072
1, 10165, Tempo, 2021563
1, 10170, Tempo, 2056203
1, 10175, Tempo, 2092050
1, 10185, Tempo, 2129170
1, 10190, Tempo, 2167630
1, 10195, Tempo, 2207506
1, 10200, Tempo, 2248876
1, 10205, Tempo, 2291826
1, 10210, Tempo, 2336449
1, 10215, Tempo, 2382844
1, 10720, Tempo, 2448980
1, 11230, Tempo, 2500000
1, 11230, End_track
2, 0, Start_track
2, 0, Title_t, "Track 2"
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 100
2, 0, Control_c, 0, 10, 40
2, 30, Note_on_c, 0, 60, 64
2, 30, Control_c, 0, 7, 75
2, 60, Note_on_c, 0, 60, 0
2, 60, Note_on_c, 0, 62, 64
