0, 0, Header, 1, 17, 120
1, 0, Start_track
1, 0, Title_t, "DIE KUNST DER FUGE  durch Herrn Johann Sebastian BACH ehemaliger Kappellmeister und Musikdirektor zu Leipzig "
1, 0, Title_t, "BWV 1080"
1, 0, Copyright_t, "Copyright © 2000 by MATJAZ KOZELJ "
1, 0, Text_t, "JOHANN SEBASTIAN B A C H"
1, 0, Time_signature, 8, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 521739
1, 0, Marker_t, "CONTRAPUNCTUS 1"
1, 3840, Tempo, 521739
1, 36000, Tempo, 521739
1, 36035, Tempo, 526316
1, 36065, Tempo, 530973
1, 36095, Tempo, 535714
1, 36130, Tempo, 540541
1, 36160, Tempo, 545455
1, 36190, Tempo, 550459
1, 36220, Tempo, 555556
1, 36255, Tempo, 560748
1, 36285, Tempo, 566038
1, 36315, Tempo, 571429
1, 36345, Tempo, 576923
1, 36380, Tempo, 582524
1, 36410, Tempo, 588235
1, 36440, Tempo, 594059
1, 36470, Tempo, 600000
1, 36505, Tempo, 606061
1, 36535, Tempo, 612245
1, 36565, Tempo, 618557
1, 36595, Tempo, 625000
1, 36630, Tempo, 631579
1, 36660, Tempo, 638298
1, 36690, Tempo, 645161
1, 36720, Tempo, 652174
1, 36755, Tempo, 659341
1, 36785, Tempo, 666667
1, 36815, Tempo, 674157
1, 36850, Tempo, 681818
1, 36880, Tempo, 689655
1, 36910, Tempo, 697674
1, 36940, Tempo, 705882
1, 36975, Tempo, 714286
1, 37005, Tempo, 722892
1, 37035, Tempo, 731707
1, 37065, Tempo, 740741
1, 37100, Tempo, 750000
1, 37130, Tempo, 759494
1, 37160, Tempo, 769231
1, 37200, Tempo, 1578947
1, 37920, Tempo, 600000
1, 37920, Marker_t, "CONTRAPUNCTUS 2"
1, 41760, Tempo, 600000
1, 77280, Tempo, 600000
1, 77290, Tempo, 603015
1, 77297, Tempo, 606061
1, 77305, Tempo, 609137
1, 77312, Tempo, 612245
1, 77320, Tempo, 615385
1, 77330, Tempo, 618557
1, 77337, Tempo, 621762
1, 77345, Tempo, 625000
1, 77352, Tempo, 628272
1, 77360, Tempo, 631579
1, 77370, Tempo, 634921
1, 77377, Tempo, 638298
1, 77385, Tempo, 641711
1, 77392, Tempo, 645161
1, 77400, Tempo, 648649
1, 77410, Tempo, 652174
1, 77417, Tempo, 655738
1, 77425, Tempo, 659341
1, 77432, Tempo, 662983
1, 77440, Tempo, 666667
1, 77450, Tempo, 670391
1, 77457, Tempo, 674157
1, 77465, Tempo, 677966
1, 77472, Tempo, 681818
1, 77480, Tempo, 685714
1, 77490, Tempo, 689655
1, 77497, Tempo, 693642
1, 77505, Tempo, 697674
1, 77512, Tempo, 701754
1, 77520, Tempo, 705882
1, 77530, Tempo, 710059
1, 77537, Tempo, 714286
1, 77545, Tempo, 718563
1, 77552, Tempo, 722892
1, 77560, Tempo, 727273
1, 77570, Tempo, 731707
1, 77577, Tempo, 736196
1, 77585, Tempo, 740741
1, 77592, Tempo, 745342
1, 77600, Tempo, 750000
1, 77610, Tempo, 754717
1, 77617, Tempo, 759494
1, 77625, Tempo, 764331
1, 77632, Tempo, 769231
1, 77640, Tempo, 774194
1, 77650, Tempo, 779221
1, 77657, Tempo, 784314
1, 77665, Tempo, 789474
