0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Klaviersonate C-Dur KV 330"
1, 0, Title_t, "1. Satz"
1, 0, Copyright_t, "Copyright © 1997 von Bernd Krüger. http://www.piano-midi.de"
1, 0, Text_t, "Mozart"
1, 0, Text_t, "Allegro moderato"
1, 0, Text_t, "Update am 31.3.2000\012"
1, 0, Text_t, "Update am2.12.2001\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Dauer: 8:56 Minuten\012"
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 922084
1, 0, Marker_t, "Allegro moderato"
1, 240, Tempo, 902120
1, 600, Tempo, 866051
1, 960, Tempo, 888362
1, 1320, Tempo, 866051
1, 1440, Tempo, 895790
1, 1680, Tempo, 876937
1, 1920, Tempo, 894188
1, 2520, Tempo, 866051
1, 2880, Tempo, 888362
1, 3240, Tempo, 866051
1, 3360, Tempo, 889284
1, 3600, Tempo, 870827
1, 3840, Tempo, 847338
1, 4080, Tempo, 819672
1, 4200, Tempo, 876937
1, 4320, Tempo, 864803
1, 4560, Tempo, 841633
1, 4580, Tempo, 864803
1, 4800, Tempo, 847338
1, 5040, Tempo, 814222
1, 5160, Tempo, 864803
1, 5280, Tempo, 864803
1, 6720, Tempo, 899955
1, 6960, Tempo, 866051
1, 7440, Tempo, 836004
1, 7680, Tempo, 847338
1, 8160, Tempo, 889284
1, 8400, Tempo, 858861
1, 8640, Tempo, 847338
1, 9120, Tempo, 883132
1, 9360, Tempo, 864803
1, 9600, Tempo, 853121
1, 10560, Tempo, 864803
1, 11280, Tempo, 899955
1, 12480, Tempo, 866051
1, 13200, Tempo, 899955
1, 14400, Tempo, 982962
1, 14520, Tempo, 866051
1, 14880, Tempo, 923930
1, 15000, Tempo, 866051
1, 15480, Tempo, 866051
1, 15600, Tempo, 899955
1, 15840, Tempo, 866051
1, 16320, Tempo, 888362
1, 16800, Tempo, 928936
1, 16920, Tempo, 876937
1, 17280, Tempo, 894188
1, 17520, Tempo, 866051
1, 17760, Tempo, 894188
1, 18000, Tempo, 866051
1, 18240, Tempo, 905934
1, 18720, Tempo, 889284
1, 18960, Tempo, 853121
1, 19200, Tempo, 870827
1, 19680, Tempo, 955871
1, 19800, Tempo, 911854
1, 20160, Tempo, 911854
1, 21360, Tempo, 866051
1, 21600, Tempo, 888362
1, 21840, Tempo, 866051
1, 22080, Tempo, 915332
1, 22320, Tempo, 915332
1, 22560, Tempo, 908816
1, 22800, Tempo, 864803
1, 24000, Tempo, 905934
1, 24480, Tempo, 866051
1, 24880, Tempo, 989772
1, 24920, Tempo, 866051
1, 25680, Tempo, 866051
1, 25920, Tempo, 888362
1, 26400, Tempo, 866051
1, 26800, Tempo, 955871
1, 26880, Tempo, 866051
1, 27840, Tempo, 930233
1, 27960, Tempo, 866051
1, 28320, Tempo, 866051
1, 28400, Tempo, 871586
1, 28480, Tempo, 877193
1, 28560, Tempo, 882742
1, 28640, Tempo, 888362
1, 28720, Tempo, 894188
1, 28760, Tempo, 899955
1, 28800, Tempo, 982962
1, 29040, Tempo, 923930
1, 29880, Tempo, 866051
1, 30720, Tempo, 930233
1, 31200, Tempo, 877193
1, 31440, Tempo, 899955
1, 31680, Tempo, 930233
1, 32160, Tempo, 866051
1, 32520, Tempo, 877193
1, 33120, Tempo, 888362
1, 33600, Tempo, 894188
1, 34080, Tempo, 866051
1, 34560, Tempo, 888362
1, 34740, Tempo, 866051
1, 35040, Tempo, 866051
1, 35200, Tempo, 871586
1, 35360, Tempo, 877193
1, 35400, Tempo, 936330
1, 35480, Tempo, 882742
1, 35520, Tempo, 899955
1, 36000, Tempo, 866051
1, 36960, Tempo, 882742
1, 37400, Tempo, 882742
1, 37440, Tempo, 882742
1, 37640, Tempo, 888362
1, 37840, Tempo, 894188
1, 38040, Tempo, 899955
1, 38240, Tempo, 905934
1, 38400, Tempo, 911854
1, 38580, Tempo, 866051
1, 38640, Tempo, 871586
1, 38680, Tempo, 877193
1, 38740, Tempo, 882742
1, 38780, Tempo, 888362
1, 38840, Tempo, 894188
1, 38880, Tempo, 899955
1, 39120, Tempo, 866051
1, 40320, Tempo, 899955
1, 40560, Tempo, 866051
1, 41280, Tempo, 894188
1, 41520, Tempo, 866051
1, 41760, Tempo, 888362
1, 42000, Tempo, 866051
1, 42240, Tempo, 888362
1, 42480, Tempo, 866051
