0, 0, Header, 1, 8, 120
1, 0, Start_track
1, 0, MIDI_port, 0
1, 0, System_exclusive, 5, 126, 127, 9, 1, 247
1, 0, MIDI_port, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 1, "major"
1, 0, Tempo, 545455
1, 360, Marker_t, "1st Mov't. ""Allegro"""
1, 65887, Tempo, 545455
1, 65910, Tempo, 550459
1, 65934, Tempo, 555556
1, 65958, Tempo, 560748
1, 65982, Tempo, 566038
1, 66005, Tempo, 571429
1, 66029, Tempo, 576923
1, 66053, Tempo, 582524
1, 66077, Tempo, 588235
1, 66100, Tempo, 594059
1, 66124, Tempo, 600000
1, 66148, Tempo, 606061
1, 66172, Tempo, 612245
1, 66195, Tempo, 618557
1, 66219, Tempo, 625000
1, 66243, Tempo, 631579
1, 66267, Tempo, 638298
1, 66291, Tempo, 645161
1, 66314, Tempo, 652174
1, 66338, Tempo, 659341
1, 66362, Tempo, 666667
1, 66386, Tempo, 674157
1, 66409, Tempo, 681818
1, 66433, Tempo, 689655
1, 66457, Tempo, 697674
1, 66481, Tempo, 705882
1, 66504, Tempo, 714286
1, 66528, Tempo, 722892
1, 66552, Tempo, 731707
1, 66576, Tempo, 740741
1, 66600, Tempo, 750000
1, 66601, Tempo, 545455
1, 75240, Time_signature, 2, 2, 24, 8
1, 75240, Tempo, 789474
1, 75240, Marker_t, "2nd Mov't. ""Andante"""
1, 91560, Tempo, 789474
1, 91608, Tempo, 800000
1, 91656, Tempo, 810811
1, 91704, Tempo, 821918
1, 91752, Tempo, 833333
1, 91800, Tempo, 845070
1, 91848, Tempo, 857143
1, 91896, Tempo, 869565
1, 91944, Tempo, 882353
1, 91992, Tempo, 895522
1, 92040, Tempo, 909091
1, 92041, Tempo, 789474
1, 92070, Tempo, 6000000
1, 92100, Tempo, 789474
1, 100921, Tempo, 789474
1, 100944, Tempo, 800000
1, 100968, Tempo, 810811
1, 100992, Tempo, 821918
1, 101016, Tempo, 833333
1, 101040, Tempo, 845070
1, 101064, Tempo, 857143
1, 101088, Tempo, 869565
1, 101112, Tempo, 882353
1, 101136, Tempo, 895522
1, 101160, Tempo, 909091
